1560381426,0,397591700,1443958487,2319549319,97322572,1768914031,3286699147,363481774,794082148,1100992430,1342665264,659554597,19222531,468272,925892608,71647239,268576032,2003829269,2,1342665264,659554597,19222531,468272,925892608,71647239,268576032,2003829269,2,-540,-540,294912,295200,0,294912,1719144995,178201,0
1560381426,1,397591700,1443958487,2319549319,97322572,1768914031,3286699147,363481774,794082148,1100992430,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,-540,-540,294912,150145,145055,149857,43925493,123541,0
1085591503,0,589610161,4181305138,569899123,3311698415,797386799,896806551,3692236932,3062630262,367023996,2936573391,3635351258,249212684,4278770383,3369013247,196787976,4010662623,2291076586,268435213,1862758927,661586213,19230467,1057432847,923729920,71663367,788669727,2001666581,16130,-516,-516,294912,295200,0,294912,718140594,4294967295,0
1085591503,1,589610161,4181305138,569899123,3311698415,797386799,896806551,3692236932,3062630262,367023996,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,-540,-540,294912,149583,145617,149295,1091213196,116962,0
3553675765,0,2029365987,572779096,2816724310,2020960058,609123862,1525457539,633921166,649498451,1088732048,1342665264,659554597,19222531,468272,925892608,71647239,268576032,2003829269,2,1342665264,659554597,19222531,468272,925892608,71647239,268576032,2003829269,2,-540,-540,294912,295200,0,294912,1092345523,152762,0
3553675765,1,2029365987,572779096,2816724310,2020960058,609123862,1525457539,633921166,649498451,1088732048,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,-540,-540,294912,150219,144981,149931,2940846674,131905,0
3064319432,0,2012543382,802544355,33870983,2771874278,2957300435,3150902860,281917222,1115895669,1202448979,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,-540,-540,294912,295200,0,294912,1807950230,144538,0
3064319432,1,2012543382,802544355,33870983,2771874278,2957300435,3150902860,281917222,1115895669,1202448979,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,-540,-540,294912,149745,145455,149457,776145926,121856,0
2979770606,0,834857588,380601666,4232974221,3943721396,617960532,2880622043,2034613013,3123221886,2262434984,1342665264,659554597,19222531,468272,925892608,71647239,268576032,2003829269,2,1342665264,659554597,19222531,468272,925892608,71647239,268576032,2003829269,2,-540,-540,294912,295200,0,294912,4009900338,152913,0
2979770606,1,834857588,380601666,4232974221,3943721396,617960532,2880622043,2034613013,3123221886,2262434984,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,-540,-540,294912,149189,146011,148901,3364054404,119504,0
3887518001,0,880896284,637715226,3666067598,3864120740,1247127623,3217099220,81067655,3123353736,3542877711,1342665264,659554597,19222531,468272,925892608,71647239,268576032,2003829269,2,1342665264,659554597,19222531,468272,925892608,71647239,268576032,2003829269,2,-540,-540,294912,295200,0,294912,256435542,158338,0
3887518001,1,880896284,637715226,3666067598,3864120740,1247127623,3217099220,81067655,3123353736,3542877711,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,-540,-540,294912,148974,146226,148686,2429043701,116761,0
2821088276,0,1945745727,2492930672,2043396071,1392979715,1831598403,834505700,4201027418,2592453887,1302376939,2936499663,950993210,20623107,4278663887,684654623,73056007,4009900767,1754202634,2096898,2936503759,682557738,19574531,4278659791,953090063,72007431,4009896671,2022638106,1048322,-516,-516,294912,295200,0,294912,836413220,4294967295,0
2821088276,1,1945745727,2492930672,2043396071,1392979715,1831598403,834505700,4201027418,2592453887,1302376939,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,-540,-540,294912,149655,145545,149367,739677972,129222,0
291919538,0,2390608853,581529996,2676880368,2929027929,260653568,737033072,2949393810,631318878,492154332,1342665264,659554597,19222531,468272,925892608,71647239,268576032,2003829269,2,1342665264,659554597,19222531,468272,925892608,71647239,268576032,2003829269,2,-540,-540,294912,295200,0,294912,411142843,149385,0
291919538,1,2390608853,581529996,2676880368,2929027929,260653568,737033072,2949393810,631318878,492154332,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,2952302031,3635412698,4275744764,4294499023,3369074687,4223320056,4026391263,2291138026,4294967293,-540,-540,294912,149183,146017,148895,1511519304,128859,0
