1560381426,0,0,397591700,1443958487,2319549319,97322572,1768914031,3286699147,363481774,794082148,1100992430,4294967278,175682,288,0,4294967278,0,0
1560381426,0,1,388533757,1272221071,4191839707,194308165,4093884667,2741126868,275981825,4051389502,26464011,4294967230,352514,576,288,4294967230,0,288
1560381426,0,2,3037544141,3254099795,2048545169,193218391,3590584386,4193761563,2583471832,2264809990,3318968293,4294967214,529346,864,576,4294967194,0,576
1560381426,0,3,1137104393,3433420790,2185331267,3250293440,798137856,481687627,817876934,1603456141,4214037721,4294967266,883010,1440,1152,4294967192,0,1152
1560381426,0,4,1593297095,2807034514,2291404188,2852672465,1139991272,726181692,3772820951,2279174516,3237013203,4294967228,1590338,2592,2304,4294967192,0,2304
1560381426,0,5,1848995868,740819502,2546446087,1662004835,179978108,3704927006,3253636150,363909720,4075809553,4294967236,3004994,4896,4608,4294967176,0,4608
1560381426,0,6,3882152847,722740141,3711913138,3583584127,3501195231,1652604191,1755639481,185359857,3734007763,4294967216,5834306,9504,9216,4294967170,0,9216
1560381426,0,7,3871981503,4041603656,1126359176,4210485300,1974108828,201945933,3727832266,4170668239,1412876258,4294967272,11492930,18720,18432,4294967146,0,18432
1560381426,0,8,2763672247,3053986488,4105448573,126334128,1126163193,1651930677,3771539872,2121526645,2852457932,4294967214,22810178,37152,36864,4294967138,0,36864
1560381426,0,9,1442364873,2581063691,3869335034,3251687479,13602815,4226989816,3905754079,3776763611,2358454460,4294967142,45444674,74016,73728,4294967084,0,73728
1560381426,0,10,1358465712,3742432837,4274327804,16295216,3073441664,608518374,268576032,2003829269,2,4294966838,90713666,147744,147456,4294966814,0,147456
1560381426,0,11,1342665264,659554597,19222531,468272,925892608,71647239,268576032,2003829269,2,4294966756,181251650,295200,294912,4294966756,0,294912
1560381426,1,0,397591700,1443958487,2319549319,97322572,1768914031,3286699147,363481774,794082148,1100992430,4294967278,175682,288,0,4294967278,0,0
1560381426,1,1,388533757,1272221071,4191839707,194308165,4093884667,2741126868,275981825,4051389502,26464011,4294967230,352514,576,288,4294967230,0,288
1560381426,1,2,2529322451,123137621,2851961919,1140088570,3442454235,4135731860,1891512037,4003249099,2174741939,4294967222,527201,799,576,4294967212,65,511
1560381426,1,3,670647405,214830813,4011256382,219370189,750648598,3700312557,1988819311,2869705226,234877746,4294967210,876179,1233,1152,4294967184,207,945
1560381426,1,4,1600711563,489684269,3904294389,2318482766,4286918295,3933729256,4037415778,2232980212,372098573,4294967260,1575356,2138,2304,4294967170,454,1850
1560381426,1,5,3655830839,3937202640,526479344,400910719,4197441747,4188490139,1229569831,4138468740,3688334419,4294967198,2973281,3935,4608,4294967138,961,3647
