pdk,variant,n_pbits,rows,cols,frequency_mhz,sweeps,visits,fresh_words,reuse_events,cycles,area_um2,postroute_registers,postroute_clock_gates,internal_power_mw,switching_power_mw,leakage_power_mw,total_power_mw,search_time_us,search_energy_nj,measurement
tsmc28p,baseline,16,4,4,500,32,512,512,0,1024,3224.592,669,25,0.44936636,0.22444669,0.02000078,0.69381384,2.048,1.42093074432,gate-level VCD activity on post-route checkpoint
tsmc28p,epix,16,4,4,500,32,512,404,108,916,3511.536,817,46,0.66133142,0.3516918,0.0220366,1.03505982,1.832,1.89622959024,gate-level VCD activity on post-route checkpoint
